Fecha;Unidades;TRM;TRMdesfas
06/03/2013;1073;$ 1.809,65 ;$ 1.767,54 
07/03/2013;1136;$ 1.808,00 ;$ 1.767,54 
08/03/2013;1207;$ 1.803,65 ;$ 1.767,54 
09/03/2013;354;$ 1.800,45 ;$ 1.771,31 
10/03/2013;1;$ 1.800,45 ;$ 1.767,96 
11/03/2013;851;$ 1.800,45 ;$ 1.761,50 
12/03/2013;1065;$ 1.801,20 ;$ 1.762,38 
13/03/2013;1167;$ 1.801,64 ;$ 1.762,38 
14/03/2013;1223;$ 1.798,56 ;$ 1.762,38 
15/03/2013;1297;$ 1.797,28 ;$ 1.758,45 
16/03/2013;385;$ 1.804,06 ;$ 1.769,88 
17/03/2013;0;$ 1.804,06 ;$ 1.775,15 
18/03/2013;830;$ 1.804,06 ;$ 1.767,78 
19/03/2013;1249;$ 1.809,58 ;$ 1.767,74 
20/03/2013;1341;$ 1.809,83 ;$ 1.767,74 
21/03/2013;1459;$ 1.812,35 ;$ 1.767,74 
22/03/2013;1630;$ 1.822,78 ;$ 1.767,74 
23/03/2013;532;$ 1.825,79 ;$ 1.776,96 
24/03/2013;0;$ 1.825,79 ;$ 1.778,69 
25/03/2013;0;$ 1.825,79 ;$ 1.779,73 
26/03/2013;953;$ 1.825,79 ;$ 1.779,25 
27/03/2013;1104;$ 1.828,95 ;$ 1.779,25 
28/03/2013;14;$ 1.832,20 ;$ 1.779,25 
29/03/2013;0;$ 1.832,20 ;$ 1.779,84 
30/03/2013;2;$ 1.832,20 ;$ 1.776,09 
